Horizon,Updated_Horizon,Flag_remove,Flag.Horizon.Type,Move_to_Humus
BCtj,Btj,,,
Bngk,,,,
CCa,Cca,,,
IBg,Bg1,,,
IICb2,IICb2,,,
IIIcgjk,IIICgjk,,,
Br1,,Flag,,
Ahb4,,,,
IBC,,,,
Ckgj1,,,,
2BMU,IIBmu,,,
Toowet,,Flag,,
llC,IIC,,,
Blj,,Flag,,
Bfgjtj,,,,
Bfb3,,,,
IIBMGJB2,IIBgjb2,,,
Ak,Ahk,,,
BA1,BA1,,,
Bhsca,Bhsk,,,
Bth,Bt,,,
"BA


BA",BA,,,
BR,,Flag,,
IVBfb,,,,
Ghf,,Flag,,
IIBgt,,,,
BMG2,Bmg2,,,
Bftj,,Flag,,
BtjAB,Bm,,,
Bct,,Flag,,
BBC,BC,,,
Fa,,,Organic.Horizon,Move
BgjCg,BCgj,,,
Colluviu,,Flag,,
IIAh2,,,,
BCcg,,,,
BhF,Bhf,,,
BMBK,Bmk,,,
IIIBmb1,,,,
2BCG,IIBCg,,,
BCk1,,,,
IIBf3,,,,
IHb,Hb,,Organic.Horizon,
IIHbBhf,IIBhfb,,,
AhOh,,Flag,,
Bmjk,Bmk,,,
Ckb3,,,,
Bhgb,,,,
BAg,,,,
Bf1u,Bfu1,,,
IIIBhg,,,,
IIBFB2,IIBfb2,,,
Ahebgj,,,,
Hwb,Hb,,Organic.Horizon,
BtgjC,Btgj,,,
Bin,,Flag,,
AHBK,Ahbk,,,
AheBHf,,Flag,,
HAeb,Aeb,,,
IIAh?,IIAh,,,
IIICca,IIICca,,,
BgC,Bg,,,
BmK,Bmk,,,
IIoh,IIOh,,Organic.Horizon,
BCcaII,,,,
Mb,,Flag,,
CBgj,,,,
C1G,Cg1,,,
Slumped,,Flag,,
LH,LH,,Organic.Horizon,Move
Bh3,,,,
Bh4,,,,
BHF1,Bhf1,,,
Csag,Csag,,,
aH,Ah,,,
Acasa,,Flag,,
IHhb,Hb1,,Organic.Horizon,
AheBh,,Flag,,
Bgjb,,,,
C2g,Cg2,,,
Dw,,Flag,,
AhbII,Ahb2,,,
Bktj,,,,
IIIBt,,,,
Bgy,,,,
Ct,,Flag,,
BCC,BCc,,,
Ahgb,,,,
Bgx,,,,
Ae?,Ae,,,
AehBf,,Flag,,
AhHi,Ah,,,
ABg2,,,,
IIIAeb,,,,
ABBC,,Flag,,
VCgj,,,,
Bfhc,Bhfc,,,
Ahein,Ahe,,,
Hcin,Hc,,Organic.Horizon,Move
Hin,H,,Organic.Horizon,Move
ABgj2,,,,
Bt1gj,Btgj1,,,
2Bgjk,IIBkgj,,,
IIBgk,,,,
Fb,Fb,,Organic.Horizon,
AeBhfB,,Flag,,
softwea,,Flag,,
Bedrock,R,,,
IIAegj,,,,
HiorAh,,Flag,,
AeBh,,Flag,,
IIB,,Flag,,
Bmcj,,,,
CKU,Cku,,,
Hi2,H,,Organic.Horizon,Move
AhI,Ah,,,
Stones,R,,,
